Tiempo total del proceso: 13.27034616470337

Coordenadas objeto 1: 
Tiempo      X(px)      Y(px)      X(cm)      Y(cm)
0.2805662155151367 -278 -119 -17.05393102569154 -7.300064000206091
0.5654222965240479 -283 -102 -6.59165265426652 -2.375790002597827
0.8651001453399658 -248 -99 -7.0756422741318845 -2.8245507465284536
1.1561784744262695 -219 -102 -12.928963332308616 -6.021708949294424
1.4467556476593018 -299 -119 -17.352661279643023 -6.9062431179850154
1.7344613075256348 -263 -63 -13.38149502995921 -3.2054531820814836
2.025369644165039 -305 27 -17.274978103363992 1.5292603566912386
2.3198564052581787 -138 -181 -9.624966319436625 -12.624050027666879
2.6033360958099365 -226 -232 -13.686165786292417 -14.049515320441774
2.885788917541504 -208 -280 -12.8238792007651 -17.26291430872225
3.173990488052368 -297 -30 -18.355378060584645 -1.8540785919782468
3.4679667949676514 -287 -172 -13.955737273835883 -8.363717111845896
3.7553088665008545 -294 -170 -15.464048954609176 -8.941797014569932
4.041760206222534 -302 -195 -16.325993978114447 -10.541618628252706
4.334445476531982 -295 -162 -15.8866412955651 -8.724189457225581
4.6252760887146 -292 -172 -15.588249765003384 -9.182119724591034
4.9159557819366455 -281 -170 -15.920232727716058 -9.6314575221058
5.200650930404663 -294 -186 -15.893749560666102 -10.0552293138908
5.494443655014038 -293 -77 -8.47706394109758 -2.227760830936907
5.791038513183594 -303 -68 -17.46085944598856 -3.9186087205518882
6.088490962982178 -238 -213 -13.468486005804127 -12.05372907242134
6.370374441146851 -191 -108 -7.461335988973018 -4.21897532360778
6.650472402572632 -183 29 -6.9624038195522076 1.1033317528252131
6.941506385803223 -25 -201 -1.5684851419831571 -12.610620541544584
7.225759744644165 -25 -199 -2.6612314770617473 -21.183402557411508
7.517689228057861 -296 135 -10.328898739113551 4.710815303311923
7.810837745666504 -275 123 -14.42462005693518 6.451739152738281
8.095927715301514 -27 -200 -0.6267622910816515 -4.642683637641863
8.384209632873535 -191 -190 -6.819862966268323 -6.784156877439693
8.671699523925781 -300 -258 -7.499906251757776 -6.449919376511687
8.953633069992065 -303 -122 -7.697946138411664 -3.099503065631099
9.235635995864868 -309 -108 -13.410720670207487 -4.68724217599485
9.516700267791748 -310 -176 -12.203211302027997 -6.928274803732024
9.818224430084229 -268 -146 -19.801934576764847 -10.787621075401745
10.099272012710571 -239 -150 -16.42621382755472 -10.309339222314676
10.397289991378784 -286 -172 -8.352296508006875 -5.023059438381757
10.680047035217285 -262 -82 -118.96807160686296 -37.234281953292985
10.977744340896606 -200 -73 -250.0 -91.25
11.271579504013062 -180 27 -223.26252226057522 33.48937833908629
11.574722051620483 -159 33 -18.488372093023255 3.8372093023255816
11.866164207458496 -177 11 -20.58139534883721 1.2790697674418605
12.154184579849243 -178 7 -126.81974897847918 4.987293499153676
12.439249038696289 -183 12 -83.09601948112947 5.448919310237998
12.731275796890259 -161 33 -18.72093023255814 3.8372093023255816
13.022433280944824 -160 31 -113.1370849898476 21.920310216782973

Coordenadas objeto 2: 
Tiempo      X(px)      Y(px)      X(cm)      Y(cm)
0.2805662155151367 -298 -88 -18.280832538331218 -5.398366655614589
0.5654222965240479 -56 -47 -1.304355295543905 -1.0947267659029203
0.8651001453399658 -289 -45 -8.245405714613366 -1.283886702967479
1.1561784744262695 -240 -141 -14.16872693951629 -8.324127076965821
1.4467556476593018 -165 -80 -9.575883314853172 -4.642852516292447
1.7344613075256348 -316 -12 -16.078146119646807 -0.6105625108726636
2.025369644165039 -296 -29 -16.76522465113358 -1.6425389016313303
2.3198564052581787 -150 -222 -10.461919912431116 -15.48364147039805
2.6033360958099365 -214 -251 -12.959466717993706 -15.200122178581402
2.885788917541504 -296 -28 -18.24936655493495 -1.726291430872225
3.173990488052368 -132 230 -8.157945804704285 14.214602538499893
3.4679667949676514 -317 -107 -15.414525142181096 -5.203010063764597
3.7553088665008545 -85 132 -4.470898507284966 6.943042387783712
4.041760206222534 -187 -187 -10.1091419665808 -10.1091419665808
4.334445476531982 -168 -149 -9.047307585270971 -8.024100179793898
4.6252760887146 -224 -96 -11.958109408769719 -5.12490403232988
4.9159557819366455 -209 -99 -11.841027188941837 -5.608907615814554
5.200650930404663 -230 -107 -12.433885710725182 -5.784459874119976
5.494443655014038 -317 -161 -9.171430953337655 -4.658045373777169
5.791038513183594 -315 -147 -18.152378631968304 -8.471110028251875
6.088490962982178 -201 -139 -11.374645744397604 -7.866048549608293
6.370374441146851 -119 -175 -4.648685773234498 -6.8363026076977915
6.650472402572632 -284 -188 -10.805041993184846 -7.152633432108279
6.941506385803223 -171 66 -10.728438371164795 4.140800774835535
7.225759744644165 -258 118 -27.463908843277235 12.561012571731448
7.517689228057861 -132 6 -4.606130518793881 0.2093695690360855
7.810837745666504 -255 96 -13.375556780067166 5.035503728966463
8.095927715301514 -242 -4 -5.617647201546655 -0.09285367275283726
8.384209632873535 -193 -221 -6.891275143925582 -7.891045631127221
8.671699523925781 -248 -171 -6.199922501453095 -4.274946563501932
8.953633069992065 -233 47 -5.919542740098739 1.1940708531529645
9.235635995864868 -260 -100 -11.284101534802417 -4.340039051847083
9.516700267791748 -271 -99 -10.667968589837377 -3.8971545770992635
9.818224430084229 -229 -73 -16.920309768952052 -5.3938105377008725
10.099272012710571 -202 -66 -13.88324348605043 -4.536109257818458
10.397289991378784 -250 -81 -7.3009584860199945 -2.3655105494704785
10.680047035217285 -162 20 -73.56041068821297 9.081532183729998
10.977744340896606 -161 32 -201.25 40.0
11.271579504013062 -161 29 -199.69592268862561 35.97007303087045
